name,type,latitude,longitude
Silvacom Impex,LOG,45.945557,23.559088
Simicom,LOG,45.763334,23.97758
Sircomsim,LOG,45.763616,23.978469
Sorinvest,LOG,45.675785,24.229917
Trans Iacob,LOG,45.328564,24.193759
Aldona Prest,LOG,45.831356,22.959355
Alredia+Lacul Codrilor depozit Aiud,LOG,46.307338,23.734063
Alredia si Lacul Codrilor depozit Sebes,LOG,45.971314,23.558816
Alredia+Lacul Codrilor depozit Vintu,LOG,45.990559,23.50486
Andsilva,LOG,45.19352,22.346759
Alindana Petrila,LOG,45.437992,23.415706
Alindana,LOG,45.412682,23.411668
Cef Impex,LOG,45.969164,23.568948
Colcear Servcom,LOG,45.521459,22.401139
Comexim -R,LOG,45.34358,23.176917
Dora,LOG,46.062451,23.584065
SUSPENDAT Explonel Nucsoara,LOG,45.48573,22.926911
Fincon Flora,LOG,45.851913,23.364283
Impex Transcom Magura,LOG,45.502685,23.11568
Imperial PG 1 Petrosani,LOG,45.417189,23.360588
Iulian Transfor Petrila 2,LOG,45.450714,23.406629
Minelta Silcom,LOG,45.418882,23.419349
Mirion Prodfor,LOG,45.512309,23.094787
NelutuProdcom,LOG,45.512309,23.094787
Rinirea,LOG,45.513155,22.785601
Sapcea,LOG,45.880812,23.362563
Sebiforest Trans,LOG,45.605672,22.95417
Stefan Forest Dobra,LOG,45.76737,23.64389
Surianu Prodcom,LOG,45.455834,23.415855
Susai Servcom,LOG,45.519462,22.402385
Trans FNC,LOG,45.503413,23.114154
Transalpina Fan,LOG,45.960886,23.514412
Aldro Forest,LOG,47.131563,24.692212
Autosomes ,LOG,47.383374,24.69389
Delusandmari ,LOG,47.491802,24.743908
Fab Prod Com ,LOG,46.514433,25.157715
Forest Pragmatic ,LOG,47.420738,24.765659
Forest Pragmatic ,LOG,47.420738,24.765659
Good Forest,LOG,47.580505,24.422169
Log House Construct,LOG,47.469042,24.955345
Manvio Forest,LOG,47.383374,24.69389
Nim-Forest,LOG,47.386106,24.704656
Petronevax,LOG,47.215019,24.751556
Romtrans Cristin,LOG,47.425625,24.812571
Salemn Pioras,LOG,47.449973,24.808279
